imdb_title_id,original_title,release_year,genre,duration,country,content_rating,director,income,votes,score,income_log
tt0111161,The Shawshank Redemption,1995-02-10,Drama,142.0,USA,R,Frank Darabont,28815245,2278845,9.3,17.17641518003666
tt0071562,The Godfather: Part II,1975-09-25,"Crime, Drama",220.0,USA,R,Francis Ford Coppola,48035783,1098714,9.0,17.687456791125072
tt0110912,Pulp Fiction,1994-10-28,"Crime, Drama",127.5,USA,R,Quentin Tarantino,222831817,1780147,8.9,19.221927865515863
tt0108052,Schindler's List,1994-03-11,"Biography, Drama, History",127.5,USA,R,Steven Spielberg,322287794,1183248,8.9,19.59095547762309
tt0050083,12 Angry Men,1957-09-04,"Crime, Drama",96.0,USA,Unrated,Sidney Lumet,576,668473,8.9,6.3578422665081
tt1375666,Inception,2010-09-24,"Action, Adventure, Sci-Fi",148.0,USA,PG-13,Christopher Nolan,869784991,2002816,8.8,20.583756603437678
tt0109830,Forrest Gump,1994-10-06,"Drama, Romance",142.0,USA,PG-13,Robert Zemeckis,678229452,1755490,8.2,20.33499621490511
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2002-01-18,"Action, Adventure, Drama",127.5,New Zealand,PG-13,Peter Jackson,887934303,1619920,8.8,20.60440831623766
tt0133093,The Matrix,1999-05-07,"Action, Sci-Fi",127.5,USA,R,"Lana Wachowski, Lilly Wachowski",465718588,1632315,8.2,19.95909212341107
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980-09-19,"Action, Adventure, Fantasy",127.5,USA,PG,Irvin Kershner,549265501,1132073,8.7,20.124092492772444
tt0099685,Goodfellas,1990-09-20,"Biography, Crime, Drama",146.0,USA,R,Martin Scorsese,46879633,991505,8.7,17.66309389603532
tt0816692,Interstellar,2014-11-06,"Adventure, Drama, Sci-Fi",169.0,USA,PG-13,Christopher Nolan,696742056,1449256,8.6,20.361925824189587
tt0114369,Se7en,1995-12-15,"Crime, Drama, Mystery",127.0,USA,R,David Fincher,327333559,1402015,8.6,19.606490270114747
tt0102926,The Silence of the Lambs,1991-03-05,"Crime, Drama, Thriller",118.0,USA,R,Jonathan Demme,272753884,1234134,8.6,19.42408042638903
tt0076759,Star Wars,1977-10-20,"Action, Adventure, Fantasy",121.0,USA,PG,George Lucas,775768912,1204107,8.6,20.46936524127272
tt0120815,Saving Private Ryan,1998-10-30,"Drama, War",169.0,USA,R,Steven Spielberg,482349603,1203825,8.6,19.994179728599885
tt0120689,The Green Mile,2000-10-03,"Crime, Drama, Fantasy",189.0,USA,R,Frank Darabont,286801374,1112336,8.6,19.474300460959977
tt0317248,Cidade de Deus,2003-05-09,"Crime, Drama",130.0,Brazil,R,"Fernando Meirelles, KÃ¡tia Lund",30680793,685856,8.6,17.239147414180596
tt0245429,Sen to Chihiro no kamikakushi,2003-04-18,"Animation, Adventure, Family",125.0,Japan,PG,Hayao Miyazaki,355467056,626693,8.6,19.688943136247083
tt0118799,La vita B9 bella,1997-12-20,"Comedy, Drama, Romance",116.0,Italy,Unknown,Roberto Benigni,230098753,605648,8.6,19.254019139953993
tt6751668,Gisaengchung,2019-11-07,"Comedy, Drama, Thriller",132.0,South Korea,Unknown,Bong Joon Ho,257604912,470931,8.6,19.36693762421757
tt0038650,It's a Wonderful Life,1948-03-11,"Drama, Family, Fantasy",130.0,USA,PG,Frank Capra,6130720,388310,8.6,15.628822919266707
tt0047478,Shichinin no samurai,1955-08-19,"Action, Adventure, Drama",207.0,Japan,Unrated,Akira Kurosawa,322773,307958,8.6,12.684707666904746
tt0172495,Gladiator,2000-05-19,"Action, Adventure, Drama",155.0,USA,R,Ridley Scott,465361176,1308193,8.5,19.958324386788266
tt0407887,The Departed,2006-10-27,"Crime, Drama, Thriller",151.0,USA,R,Martin Scorsese,291465034,1159703,8.5,19.490430608018396
tt0482571,The Prestige,2006-12-22,"Drama, Mystery, Sci-Fi",130.0,United Kingdom,PG-13,Christopher Nolan,109676311,1155723,8.5,18.513043967561824
tt0088763,Back to the Future,1985-10-18,"Adventure, Comedy, Sci-Fi",116.0,USA,PG,Robert Zemeckis,388774684,1027330,8.5,19.778510517834064
tt0120586,American History X,1999-08-27,Drama,119.0,USA,R,Tony Kaye,23875127,1014218,8.5,16.98834780557324
tt0110413,LÃ©on,1995-04-07,"Action, Crime, Drama",110.0,France,Unknown,Luc Besson,19552639,1007598,8.5,16.78862087364196
tt0103064,Terminator 2: Judgment Day,1991-12-19,"Action, Sci-Fi",137.0,USA,R,James Cameron,520884847,974970,8.4,20.07103955417563
tt0114814,The Usual Suspects,1995-11-30,"Crime, Mystery, Thriller",106.0,USA,R,Bryan Singer,23341568,968947,8.4,16.96574640621366
tt0110357,The Lion King,1994-11-25,"Animation, Adventure, Drama",88.0,USA,G,"Roger Allers, Rob Minkoff",968511805,917248,8.4,20.69127123072154
tt7286456,Joker,2019-10-03,"Crime, Drama, Thriller",122.0,USA,Unknown,Todd Phillips,1074251311,855097,8.4,20.79488980193583
tt1675434,Intouchables,2012-02-24,"Biography, Comedy, Drama",112.0,France,Unknown,"Olivier Nakache, Ãric Toledano",426588510,736691,8.4,19.87133043208706
tt0253474,The Pianist,2002-10-25,"Biography, Drama, Music",150.0,United Kingdom,R,Roman Polanski,120072577,707942,8.4,18.603606934585102
tt2582802,Whiplash,2015-02-12,"Drama, Music",106.0,USA,R,Damien Chazelle,48983260,690732,8.4,17.706989185467247
tt0054215,Psycho,1960-10-28,"Horror, Mystery, Thriller",109.0,USA,R,Alfred Hitchcock,32008644,586765,8.3,17.281516580528372
tt0064116,C'era una volta il West,1968-12-21,Western,165.0,Italy,PG-13,Sergio Leone,112911,295220,8.3,11.634364033240612
tt0095327,Hotaru no haka,2015-10-11,"Animation, Drama, War",89.0,Japan,Unknown,Isao Takahata,516962,225438,8.3,13.155726584198405
tt0095765,Nuovo Cinema Paradiso,1988-11-17,Drama,155.0,Italy,Unknown,Giuseppe Tornatore,13826605,223050,8.3,16.442105264991163
tt0027977,Modern Times,1937-03-12,"Comedy, Drama, Family",87.0,USA,G,Charles Chaplin,457688,211250,8.3,13.033945193143404
tt1345836,The Dark Knight Rises,2012-08-29,"Action, Adventure",164.0,United Kingdom,PG-13,Christopher Nolan,1081133191,1480582,8.3,20.801275579854416
tt1853728,Django Unchained,2013-01-17,"Drama, Western",165.0,USA,R,Quentin Tarantino,425368238,1317856,8.3,19.86846579644804
tt0209144,Memento,2001-01-19,"Mystery, Thriller",113.0,USA,R,Christopher Nolan,39970386,1098879,8.2,17.50364941290233
tt0910970,WALLÂ·E,2008-10-17,"Animation, Adventure, Family",98.0,USA,G,Andrew Stanton,521311860,974734,8.2,20.071859002213046
tt0081505,The Shining,1980-12-22,"Drama, Horror",146.0,United Kingdom,R,Stanley Kubrick,46520613,869480,8.2,17.655406084151885
tt0082971,Raiders of the Lost Ark,1981-06-12,"Action, Adventure",115.0,USA,PG,Steven Spielberg,390133212,865510,8.2,19.781998810560474
tt4154756,Avengers: Infinity War,2018-04-25,"Action, Adventure, Sci-Fi",149.0,USA,Unknown,"Anthony Russo, Joe Russo",2048359754,796486,8.2,21.44030519031807
tt0078748,Alien,1979-10-25,"Horror, Sci-Fi",117.0,United Kingdom,R,Ridley Scott,108110316,768874,8.2,18.498662717463343
tt4154796,Avengers: Endgame,2019-04-24,"Action, Adventure, Drama",181.0,USA,Unknown,"Anthony Russo, Joe Russo",2797800564,754786,8.2,21.75209943295097
tt0078788,Apocalypse Now,1979-12-18,"Drama, Mystery, War",147.0,USA,R,Francis Ford Coppola,91968688,591251,8.2,18.336958740129027
tt0364569,Oldeuboi,2005-05-06,"Action, Drama, Mystery",120.0,South Korea,R,Chan-wook Park,15002116,501082,8.1,16.523701882441447
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-04-03,Comedy,95.0,United Kingdom,PG,Stanley Kubrick,9443876,441115,8.1,16.060877152960412
tt0047396,Rear Window,1955-04-14,"Mystery, Thriller",112.0,USA,Unknown,Alfred Hitchcock,37032034,432390,8.1,17.427293906821333
tt2380307,Coco,2017-12-28,"Animation, Adventure, Family",105.0,USA,Unknown,"Lee Unkrich, Adrian Molina",807083670,352455,8.1,20.50893790239622
tt0405094,Das Leben der Anderen,2007-04-06,"Drama, Mystery, Thriller",137.0,Germany,R,Florian Henckel von Donnersmarck,77356942,349642,8.1,18.163940891782495
